[[01:34:02.750]] [LOG]    Put Block Batch, ops/sec, ms/op, runs, errors
[[01:34:12.237]] [LOG]    --- 100000 100, 0.97, 1027.563, 9,  3.16%, 42.2175
[[01:34:26.184]] [LOG]    RBC 100000 100, 0.51, 1977.634, 7,  0.95%, 20.2222
[[01:34:52.266]] [LOG]    ETH 100000 100, 0.23, 4332.460, 6,  4.93%, 203.3221
[[01:35:01.674]] [LOG]    --- 100000 500, 0.97, 1031.672, 9,  0.59%, 7.9329
[[01:35:14.343]] [LOG]    RBC 100000 500, 0.56, 1795.847, 7,  2.89%, 56.0977
[[01:35:40.537]] [LOG]    ETH 100000 500, 0.23, 4351.872, 6,  1.16%, 48.1531
[[01:35:50.054]] [LOG]    --- 100000 1000, 0.96, 1043.357, 9,  0.49%, 6.6971
[[01:36:01.840]] [LOG]    RBC 100000 1000, 0.60, 1670.277, 7,  4.44%, 80.1207
[[01:36:27.336]] [LOG]    ETH 100000 1000, 0.24, 4235.779, 6,  2.35%, 94.6882
[[01:36:38.410]] [LOG]    --- 200000 100, 0.73, 1370.930, 8,  1.49%, 24.3721
[[01:36:54.644]] [LOG]    RBC 200000 100, 0.37, 2692.293, 6,  1.85%, 47.4750
[[01:37:24.143]] [LOG]    ETH 200000 100, 0.17, 5886.027, 5,  2.70%, 128.0889
[[01:37:35.371]] [LOG]    --- 200000 500, 0.72, 1389.986, 8,  0.58%, 9.7234
[[01:37:52.423]] [LOG]    RBC 200000 500, 0.41, 2422.349, 7,  2.26%, 59.1907
[[01:38:22.738]] [LOG]    ETH 200000 500, 0.17, 6049.376, 5,  3.24%, 158.0744
[[01:38:34.053]] [LOG]    --- 200000 1000, 0.71, 1400.966, 8,  0.47%, 7.9192
[[01:38:50.316]] [LOG]    RBC 200000 1000, 0.43, 2310.295, 7,  3.00%, 74.8211
[[01:39:21.641]] [LOG]    ETH 200000 1000, 0.16, 6251.267, 5,  7.61%, 383.2116
[[01:39:34.654]] [LOG]    --- 300000 100, 0.62, 1613.432, 8,  0.50%, 9.6581
[[01:39:53.637]] [LOG]    RBC 300000 100, 0.32, 3150.673, 6,  2.06%, 61.7541
[[01:40:29.277]] [LOG]    ETH 300000 100, 0.14, 7113.801, 5,  3.91%, 223.8360
[[01:40:42.705]] [LOG]    --- 300000 500, 0.60, 1665.310, 8,  3.96%, 78.8195
