[[23:08:04.263]] [LOG]    Get Block, ops/sec, ms/op, runs, errors
[[23:08:17.871]] [LOG]    --- 100000, 0.52, 1912.330, 7,  4.83%, 99.7978
[[23:08:31.687]] [LOG]    RBC 100000, 0.51, 1959.459, 7,  1.36%, 28.7759
[[23:08:59.984]] [LOG]    ETH 100000, 0.25, 4027.980, 7,  58.37%, 2542.1581
[[23:09:16.244]] [LOG]    --- 200000, 0.37, 2696.750, 6,  0.57%, 14.6394
[[23:09:33.108]] [LOG]    RBC 200000, 0.36, 2797.449, 6,  1.37%, 36.5725
[[23:10:17.667]] [LOG]    ETH 200000, 0.11, 8898.463, 5,  0.54%, 38.9915
[[23:10:36.767]] [LOG]    --- 300000, 0.32, 3170.403, 6,  1.26%, 38.1742
[[23:10:56.300]] [LOG]    RBC 300000, 0.31, 3241.816, 6,  1.00%, 30.9253
[[23:11:33.985]] [LOG]    ETH 300000, 0.13, 7523.769, 5,  66.37%, 4022.0223
[[23:11:55.521]] [LOG]    --- 400000, 0.28, 3576.053, 6,  0.60%, 20.3019
[[23:12:18.090]] [LOG]    RBC 400000, 0.27, 3748.427, 6,  1.65%, 58.7711
[[23:13:09.836]] [LOG]    ETH 400000, 0.10, 10336.364, 5,  45.52%, 3790.0164
[[23:13:37.454]] [LOG]    --- 500000, 0.22, 4589.577, 6,  1.67%, 73.0839
[[23:14:06.135]] [LOG]    RBC 500000, 0.21, 4767.160, 6,  1.99%, 90.5139
[[23:15:22.177]] [LOG]    ETH 500000, 0.07, 15195.282, 5,  1.88%, 230.0349
[[23:15:51.779]] [LOG]    --- 600000, 0.17, 5906.457, 5,  0.97%, 46.2720
[[23:16:22.891]] [LOG]    RBC 600000, 0.16, 6209.238, 5,  0.54%, 27.2047
[[23:17:54.258]] [LOG]    ETH 600000, 0.05, 18260.363, 5,  2.95%, 434.3910
[[23:18:35.463]] [LOG]    --- 700000, 0.12, 8226.667, 5,  1.44%, 95.5429
[[23:19:18.863]] [LOG]    RBC 700000, 0.12, 8666.403, 5,  2.59%, 180.7674
[[23:20:55.728]] [LOG]    ETH 700000, 0.05, 19358.800, 5,  44.14%, 6883.5507
[[23:21:55.885]] [LOG]    --- 800000, 0.08, 12016.977, 5,  2.65%, 256.6620
[[23:22:59.710]] [LOG]    RBC 800000, 0.08, 12752.316, 5,  2.19%, 224.7974
[[23:25:19.924]] [LOG]    ETH 800000, 0.04, 28027.573, 5,  2.59%, 584.9788
[[23:26:34.926]] [LOG]    --- 900000, 0.07, 14987.634, 5,  3.59%, 433.0553
[[23:27:53.911]] [LOG]    RBC 900000, 0.06, 15782.144, 5,  1.67%, 212.0578
[[23:30:48.126]] [LOG]    ETH 900000, 0.03, 34829.128, 5,  3.05%, 856.9084
[[23:32:23.401]] [LOG]    --- 1000000, 0.05, 19039.816, 5,  3.16%, 485.1949
[[23:34:04.786]] [LOG]    RBC 1000000, 0.05, 20261.178, 5,  4.18%, 681.9831
[[23:38:07.730]] [LOG]    ETH 1000000, 0.02, 48574.816, 5,  5.58%, 2182.7362
[[23:40:12.773]] [LOG]    --- 1100000, 0.04, 24993.797, 5,  4.33%, 871.3987
[[23:42:24.223]] [LOG]    RBC 1100000, 0.04, 26273.849, 5,  1.56%, 330.1706
[[23:47:29.223]] [LOG]    ETH 1100000, 0.02, 60986.687, 5,  47.02%, 23099.7288
[[23:50:14.856]] [LOG]    --- 1200000, 0.03, 33108.020, 5,  3.02%, 805.3373
[[23:53:09.451]] [LOG]    RBC 1200000, 0.03, 34904.529, 5,  1.29%, 363.0203
[[00:01:55.192]] [LOG]    ETH 1200000, 0.01, 105129.784, 5,  8.84%, 7482.9510
[[00:05:19.199]] [LOG]    --- 1300000, 0.02, 40786.620, 5,  3.74%, 1227.7441
[[00:08:59.407]] [LOG]    RBC 1300000, 0.02, 44026.087, 5,  2.38%, 842.9291
[[00:20:24.778]] [LOG]    ETH 1300000, 0.01, 137058.361, 5,  12.38%, 13669.1964
[[00:24:40.278]] [LOG]    --- 1400000, 0.02, 51084.558, 5,  1.69%, 694.8549
[[00:29:13.109]] [LOG]    RBC 1400000, 0.02, 54550.605, 5,  1.60%, 703.0842
[[00:43:49.025]] [LOG]    ETH 1400000, 0.01, 175166.099, 5,  15.38%, 21705.1129
[[00:49:23.543]] [LOG]    --- 1500000, 0.01, 66885.498, 5,  2.75%, 1484.0010
[[00:55:33.239]] [LOG]    RBC 1500000, 0.01, 73919.161, 5,  3.20%, 1907.8647
