[[21:41:48.078]] [LOG]    Put Block, ops/sec, ms/op, runs, errors
[[21:41:57.443]] [LOG]    --- 100000, 0.98, 1022.571, 9,  2.63%, 34.9412
[[21:42:07.134]] [LOG]    RBC 100000, 0.94, 1063.264, 9,  1.79%, 24.8018
[[21:42:34.554]] [LOG]    ETH 100000, 0.22, 4555.632, 6,  5.37%, 233.2350
[[21:42:45.465]] [LOG]    --- 200000, 0.74, 1350.411, 8,  0.49%, 7.8942
[[21:42:56.841]] [LOG]    RBC 200000, 0.71, 1408.243, 8,  1.43%, 24.0595
[[21:43:27.617]] [LOG]    ETH 200000, 0.16, 6140.878, 5,  3.14%, 155.5322
[[21:43:40.190]] [LOG]    --- 300000, 0.64, 1558.202, 8,  0.43%, 7.9417
[[21:43:53.411]] [LOG]    RBC 300000, 0.61, 1639.270, 8,  1.99%, 39.0095
[[21:44:29.116]] [LOG]    ETH 300000, 0.14, 7125.270, 5,  2.27%, 130.1637
[[21:44:41.558]] [LOG]    --- 400000, 0.57, 1763.002, 7,  0.82%, 15.5764
[[21:44:54.604]] [LOG]    RBC 400000, 0.54, 1850.459, 7,  0.25%, 5.1010
[[21:45:34.903]] [LOG]    ETH 400000, 0.12, 8045.331, 5,  1.79%, 115.7958
[[21:45:50.725]] [LOG]    --- 500000, 0.45, 2246.433, 7,  0.56%, 13.5137
[[21:46:07.281]] [LOG]    RBC 500000, 0.43, 2351.184, 7,  0.53%, 13.4352
[[21:46:58.793]] [LOG]    ETH 500000, 0.10, 10287.242, 5,  3.29%, 272.3684
[[21:47:16.311]] [LOG]    --- 600000, 0.34, 2906.245, 6,  0.82%, 22.7147
[[21:47:34.596]] [LOG]    RBC 600000, 0.33, 3034.028, 6,  0.55%, 15.7574
[[21:48:37.390]] [LOG]    ETH 600000, 0.08, 12544.984, 5,  3.30%, 333.2502
[[21:49:01.984]] [LOG]    --- 700000, 0.24, 4085.447, 6,  0.64%, 25.0815
[[21:49:27.853]] [LOG]    RBC 700000, 0.23, 4298.182, 6,  0.45%, 18.4296
[[21:50:43.106]] [LOG]    ETH 700000, 0.07, 15036.131, 5,  4.54%, 550.0153
[[21:51:12.371]] [LOG]    --- 800000, 0.17, 5839.406, 5,  1.16%, 54.6154
[[21:51:43.326]] [LOG]    RBC 800000, 0.16, 6177.360, 5,  1.34%, 66.5944
[[21:53:14.875]] [LOG]    ETH 800000, 0.05, 18295.717, 5,  4.97%, 732.4905
[[21:53:51.507]] [LOG]    --- 900000, 0.14, 7312.717, 5,  4.37%, 257.1504
[[21:54:29.673]] [LOG]    RBC 900000, 0.13, 7619.794, 5,  1.71%, 104.9740
[[21:56:24.654]] [LOG]    ETH 900000, 0.04, 22980.399, 5,  8.11%, 1500.8317
[[21:57:10.575]] [LOG]    --- 1000000, 0.11, 9169.271, 5,  1.51%, 111.1584
[[21:57:59.961]] [LOG]    RBC 1000000, 0.10, 9863.674, 5,  3.67%, 291.5819
[[22:00:43.142]] [LOG]    ETH 1000000, 0.03, 32621.371, 5,  9.79%, 2573.0343
[[22:01:42.564]] [LOG]    --- 1100000, 0.08, 11869.362, 5,  3.37%, 321.9624
[[22:02:45.800]] [LOG]    RBC 1100000, 0.08, 12633.549, 5,  3.82%, 388.8503
[[22:06:47.992]] [LOG]    ETH 1100000, 0.02, 48422.885, 5,  13.62%, 5312.6183
[[22:08:06.300]] [LOG]    --- 1200000, 0.06, 15647.904, 5,  1.49%, 187.7138
[[22:09:33.475]] [LOG]    RBC 1200000, 0.06, 17419.892, 5,  3.96%, 556.3043
[[22:15:40.940]] [LOG]    ETH 1200000, 0.01, 73477.895, 5,  17.53%, 10372.8453
[[22:17:18.068]] [LOG]    --- 1300000, 0.05, 19410.454, 5,  4.43%, 692.9895
[[22:19:00.236]] [LOG]    RBC 1300000, 0.05, 20419.289, 5,  4.71%, 775.1948
[[22:27:01.080]] [LOG]    ETH 1300000, 0.01, 96154.114, 5,  20.99%, 16255.2427
[[22:29:01.384]] [LOG]    --- 1400000, 0.04, 24046.854, 5,  11.19%, 2167.1348
[[22:31:04.325]] [LOG]    RBC 1400000, 0.04, 24574.614, 5,  4.68%, 925.8760
[[22:41:10.519]] [LOG]    ETH 1400000, 0.01, 121221.965, 5,  24.57%, 23993.6978
[[22:43:40.307]] [LOG]    --- 1500000, 0.03, 29944.046, 5,  4.65%, 1121.8769
[[22:46:31.281]] [LOG]    RBC 1500000, 0.03, 34180.371, 5,  7.27%, 2002.5537
